"리밸런싱날짜","펀드설명","ISIN","weight","설정일","자산군_대","자산군_소"
2024-11-22,"ACETDF_2075","US9229087369",0.4205,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2075","US9229087443",0.3062,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2075","US9219438580",0.0304,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2075","US9220428588",0.089,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2075","US78463V1070",0.1402,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2075","KR7356540005",0.007,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2075","KR7152380002",0.0067,2023-05-12,"채권","한국 10년국고채권"
2024-11-08,"ACETDF_2080","US9229087369",0.4221,2023-05-12,"주식","미국 성장주"
2024-11-08,"ACETDF_2080","US9229087443",0.3074,2023-05-12,"주식","미국 가치주"
2024-11-08,"ACETDF_2080","US9219438580",0.0305,2023-05-12,"주식","선진국 주식"
2024-11-08,"ACETDF_2080","US9220428588",0.0893,2023-05-12,"주식","신흥국 주식"
2024-11-08,"ACETDF_2080","US78463V1070",0.1407,2023-05-12,"대체","금"
2024-11-08,"ACETDF_2080","KR7356540005",0.0046,2023-05-12,"채권","한국 종합채권"
2024-11-08,"ACETDF_2080","KR7152380002",0.0054,2023-05-12,"채권","한국 10년국고채권"
