순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율
"42","2023-12-06","1MP35","한국투자TDF알아서ETF포커스2035MP","주식형","2.87","1,112.77","2.26","1,109.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,112,771,754,588","0.00","50.02","0.00","1,112.771754588","5,085,357","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"43","2023-12-06","1MP40","한국투자TDF알아서ETF포커스2040MP","주식형","2.80","1,115.82","2.25","1,113.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,115,817,738,075","0.00","43.78","0.00","1,115.8177380749999","9,826,139","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"44","2023-12-06","1MP45","한국투자TDF알아서ETF포커스2045MP","주식형","2.72","1,118.61","2.22","1,116.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,118,611,928,988","0.00","38.18","0.00","1,118.611928988","6,272,070","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"45","2023-12-06","1MP50","한국투자TDF알아서ETF포커스2050MP","주식형","2.63","1,121.36","2.19","1,119.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,121,362,423,960","0.00","32.95","0.00","1,121.36242396","4,457,263","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"46","2023-12-06","1MP55","한국투자TDF알아서ETF포커스2055MP","주식형","2.56","1,123.71","2.16","1,121.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,123,714,084,094","0.00","28.69","0.00","1,123.714084094","10,834,321","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"47","2023-12-06","1MP60","한국투자TDF알아서ETF포커스2060MP","주식형","2.51","1,125.55","2.14","1,123.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,125,546,101,698","0.00","25.50","0.00","1,125.546101698","2,390,680","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"48","2023-12-06","2MP24","한국투자TIF알아서평생소득ETF포커스MP","주식형","3.03","1,101.38","2.26","1,098.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,101,380,964,042","0.00","68.20","0.06","1,101.3809640420002","576,424,563","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"49","2023-12-06","3MP01","한국투자MYSUPER알아서 안정형MP","주식형","5.13","1,058.73","3.65","1,056.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,058,730,886,053","0.98","68.55","0.26","1,058.730886053","2,624,265,723","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"50","2023-12-06","3MP02","한국투자MYSUPER알아서 성장형MP","주식형","3.50","1,085.96","1.94","1,086.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,085,960,629,315","3.77","19.69","0.16","1,085.960629315","1,573,837,309","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
"51","2023-12-07","1MP30","한국투자TDF알아서ETF포커스2030MP","주식형","1.38","1,110.49","4.20","1,110.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,000,000,000,000","1,000,000,000,000","1,110,488,125,031","0.00","57.18","0.00","1,110.488125031","8,837,853","","","2022-09-21","2099-12-30","국민은행","기타사무수탁"
