순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
41,2022-10-08,07J86,한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.39,0.05,"1,000.87",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,183,813",0,11.87,34.33,999.3946043,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
42,2022-10-08,07J91,한국투자TDF알아서ETF포커스2055증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.59,0.05,"1,000.99",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,776,568",0,10.21,33.77,999.5921893,"2,557,890,732",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
43,2022-10-08,07J96,한국투자TDF알아서ETF포커스2060증권투자신탁(혼합-재간접형)(모),재간접,0.05,999.55,0.05,"1,000.98",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,643,178",0,8.86,35,999.547726,"2,749,073,339",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
44,2022-10-08,07M02,한국투자TIF알아서평생소득ETF포커스증권투자신탁(채권혼합-재간접형)(모),재간접,0.03,999.43,0.03,"1,000.51",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,295,346",0,31.63,27.91,999.431782,"1,557,955,897",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
45,2022-10-09,07J34,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),재간접,0.04,996.4,0.05,996.66,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,690,292,225",0,0,0.6,996.4045278,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
46,2022-10-09,07J41,한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)(모),재간접,0.02,997.9,0.02,998.57,0,0,0,0,0,0,0,"2,700,000,000","2,700,000,000","2,694,324,474",0,0,0.6,997.8979533,"16,200,000",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
47,2022-10-09,07J66,한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.4,0.04,"1,000.66",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,199,488",0,24.35,32.33,999.3998293,"2,035,218,593",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
48,2022-10-09,07J71,한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)(모),재간접,0.03,999.55,0.04,"1,000.79",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,661,602",0,20.81,30.7,999.5538673,"1,973,423,336",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
49,2022-10-09,07J76,한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.47,0.04,"1,000.81",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,417,540",0,17.32,32.05,999.4725133,"2,175,525,518",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
50,2022-10-09,07J81,한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)(모),재간접,0.04,999.47,0.05,"1,000.91",0,0,0,0,0,0,0,"3,000,000,000","3,000,000,000","2,998,414,997",0,14.38,33.19,999.4716657,"2,366,708,125",,,2022-10-05,2023-10-04,한국씨티은행,국민은행
