순번,산출일자,펀드,,펀드유형,기준가격,,과표기준가격,,비거주자 과표기준가격,,해외비과세과표기준가격,,결산전 기준가격,,,설정규모,,,자산구성비중(%),,,수정기준가격,예금,운용팀,매니저,설정일,결산일,수탁회사,사무관리
,,코드,명칭,,증감,기준가격,증감,기준가격,증감,기준가격,증감,기준가격,기준가격,과표기준가격,해외비과세과표기준가격,좌수,원본,순자산,주식비율,채권비율,현금성비율,,,,,,,,
57,2022-10-10,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,0,981.94,0,982.53,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","981,944,718,240",0,23.36,0.01,981.9447182,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
58,2022-10-10,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,0,984.32,0,984.48,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","984,324,855,073",0,59.72,0.01,984.3248551,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
59,2022-10-10,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,0,986.29,0,986.17,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","986,289,565,353",0,60.95,0.01,986.2895654,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
60,2022-10-10,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,0,983.03,0,982.99,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","983,031,477,446",0,22.76,0.01,983.0314774,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
61,2022-10-11,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,-13.44,970.18,-13.11,970.84,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","970,180,442,042",0,51.36,0.01,970.180442,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
62,2022-10-11,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,-14.61,968.54,-14.43,969.15,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","968,541,920,229",0,44.88,0.01,968.5419202,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
63,2022-10-11,1MP40,한국투자TDF알아서ETF포커스2040MP,주식형,-15.61,967.17,-15.55,967.73,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","967,173,381,448",0,39.33,0.01,967.1733814,"113,559,371",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
64,2022-10-11,1MP45,한국투자TDF알아서ETF포커스2045MP,주식형,-16.5,965.99,-16.53,966.5,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","965,987,879,974",0,34.33,0.01,965.98788,"113,817,535",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
65,2022-10-11,1MP50,한국투자TDF알아서ETF포커스2050MP,주식형,-17.32,964.94,-17.43,965.39,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","964,935,559,884",0,29.67,0.01,964.9355599,"113,980,659",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
66,2022-10-11,1MP55,한국투자TDF알아서ETF포커스2055MP,주식형,-17.97,964.11,-18.14,964.52,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","964,105,788,581",0,25.93,0.01,964.1057886,"113,872,975",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
67,2022-10-11,1MP60,한국투자TDF알아서ETF포커스2060MP,주식형,-18.45,963.49,-18.66,963.87,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","963,485,455,941",0,23.2,0.01,963.4854559,"113,901,251",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
68,2022-10-11,2MP24,한국투자TIF알아서평생소득ETF포커스MP,주식형,-11.99,972.33,-11.42,973.06,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","972,333,022,488",0,59.38,0.01,972.3330225,"113,847,995",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
69,2022-10-11,3MP01,한국투자MYSUPER알아서 안정형MP,주식형,-5.42,980.87,-4.91,981.26,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","980,866,182,979",0,60.73,0.01,980.866183,"114,052,412",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
70,2022-10-11,3MP02,한국투자MYSUPER알아서 성장형MP,주식형,-12.62,970.41,-12.43,970.56,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","970,410,561,097",0,22.67,0.01,970.4105611,"115,091,458",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
71,2022-10-12,1MP30,한국투자TDF알아서ETF포커스2030MP,주식형,-3.4,966.78,-10.17,960.67,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","966,780,463,415",0,51.77,0.01,966.7804634,"113,430,330",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
72,2022-10-12,1MP35,한국투자TDF알아서ETF포커스2035MP,주식형,-4.66,963.88,-11.01,958.14,0,0,0,0,0,0,0,"1,000,000,000,000","1,000,000,000,000","963,880,586,050",0,45.27,0.01,963.8805861,"113,484,933",,,2022-09-21,2099-12-30,국민은행,기타사무수탁
